group,Team,Year,name,value,,,,,,,,,,,
O,WAS,14_15,Vrana,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Vrana"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Bowey,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Bowey"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Vanecek,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Vanecek"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Herbert,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Herbert"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Wey,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Wey"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Djoos,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Djoos"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Carrick,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Carrick"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Walker,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Walker"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Anderson,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Anderson"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Kennedy,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kennedy"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Kundratek,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kundratek"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Landry,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Landry"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Mitchell,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Mitchell"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Moore,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Moore"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Newbury,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Newbury"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Pasquale,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Pasquale"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
O,WAS,14_15,Wellman,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Wellman"",""value"":0,""group"":""O"",""team"":""WAS"",""year"":""14_15""},"
F,VAN,14_15,Sedin,7,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sedin"",""value"":7,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Sedin,7,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sedin"",""value"":7,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Vrbata,5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Vrbata"",""value"":5,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Burrows,4.5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Burrows"",""value"":4.5,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Hansen,2.5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hansen"",""value"":2.5,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Higgins,2.5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Higgins"",""value"":2.5,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Bonino,1.9,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Bonino"",""value"":1.9,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Kassian,1.75,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kassian"",""value"":1.75,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Matthias,1.75,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Matthias"",""value"":1.75,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Dorsett,1.633,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Dorsett"",""value"":1.633,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Horvat,1.51,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Horvat"",""value"":1.51,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Richardson,1.15,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Richardson"",""value"":1.15,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Vey,0.735,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Vey"",""value"":0.735,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Kenins,0.363,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kenins"",""value"":0.363,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,McMillan,0.198,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""McMillan"",""value"":0.198,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
F,VAN,14_15,Baertschi,0.069,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Baertschi"",""value"":0.069,""group"":""F"",""team"":""VAN"",""year"":""14_15""},"
D,VAN,14_15,Edler,5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Edler"",""value"":5,""group"":""D"",""team"":""VAN"",""year"":""14_15""},"
D,VAN,14_15,Bieksa,4.6,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Bieksa"",""value"":4.6,""group"":""D"",""team"":""VAN"",""year"":""14_15""},"
